year;month;day;avg_temperature;avg_co2;max_temperature;min_temperature;max_co2;min_co2
2023;2;28;12.854347826086958;417.9782608695652;23.8;7.0;856.0;400.0
2023;3;1;9.36458333333333;406.8645833333333;12.7;6.6;416.0;398.0
2023;3;2;12.260638297872335;424.09574468085106;25.4;8.9;444.0;410.0
2023;3;3;12.89239130434783;433.6195652173913;25.1;7.6;477.0;418.0
2023;3;4;14.382417582417581;438.61538461538464;30.4;7.2;460.0;420.0
2023;3;5;13.592553191489367;449.24468085106383;28.5;6.8;489.0;422.0
2023;3;6;13.995652173913046;446.20652173913044;26.6;9.6;501.0;427.0
2023;3;7;13.602173913043474;455.1630434782609;27.6;8.8;505.0;438.0
2023;3;8;15.199999999999994;518.8297872340426;30.5;8.4;552.0;439.0
2023;3;9;17.8;546.8444444444444;29.4;13.3;586.0;495.0
2023;3;10;17.780645161290323;533.6881720430108;34.4;11.8;582.0;486.0
2023;3;11;16.365591397849464;507.741935483871;30.4;11.7;537.0;489.0
2023;3;12;16.153260869565216;509.7173913043478;30.5;10.5;540.0;487.0
2023;3;13;16.040217391304353;558.7717391304348;30.7;9.8;582.0;527.0
2023;3;14;15.066304347826087;584.6086956521739;22.6;12.9;645.0;557.0
2023;3;15;16.348936170212763;565.4042553191489;30.2;10.8;630.0;513.0
2023;3;16;15.07849462365592;516.6129032258065;29.9;8.8;555.0;491.0
2023;3;17;14.59565217391304;522.3804347826087;29.7;7.9;560.0;492.0
2023;3;18;16.137634408602146;509.01075268817203;32.1;8.8;542.0;486.0
2023;3;19;15.875531914893621;513.2234042553191;25.9;11.3;549.0;496.0
2023;3;20;17.363043478260874;513.3260869565217;31.4;12.5;545.0;493.0
2023;3;21;18.398913043478263;530.7173913043479;35.3;11.1;574.0;504.0
2023;3;22;20.811956521739127;452.5;36.1;14.3;528.0;413.0
2023;3;23;19.68021978021979;432.3296703296703;34.2;14.2;495.0;408.0
2023;3;24;19.126881720430106;426.8279569892473;32.7;13.8;464.0;399.0
2023;3;25;18.65268817204301;419.80645161290323;34.0;13.5;437.0;402.0
2023;3;26;16.546067415730334;415.91011235955057;33.2;11.1;437.0;399.0
