year;month;day;avg_temperature;avg_co2;max_temperature;min_temperature;max_co2;min_co2
2023;2;10;11.092982456140351;467.1578947368421;12.4;6.8;553.0;429.0
2023;2;11;10.730107526881715;480.3440860215054;13.2;8.2;536.0;445.0
2023;2;12;10.668627450980393;498.94117647058823;13.1;8.6;595.0;431.0
2023;2;14;13.566666666666668;568.6666666666666;13.8;12.9;706.0;531.0
2023;2;28;10.865384615384613;630.5;11.9;8.0;1214.0;614.0
2023;3;1;10.495744680851066;609.1276595744681;12.1;9.2;635.0;577.0
2023;3;2;12.769565217391303;583.1413043478261;15.0;11.2;591.0;572.0
2023;3;3;14.13736263736264;592.4945054945055;17.3;11.3;643.0;568.0
2023;3;4;14.781052631578948;589.8421052631579;19.2;11.5;616.0;565.0
2023;3;5;14.501063829787231;599.9893617021277;17.6;11.6;644.0;576.0
2023;3;6;14.963440860215053;589.7096774193549;16.9;13.2;617.0;573.0
2023;3;7;15.039560439560443;588.1428571428571;16.4;13.3;651.0;563.0
2023;3;8;16.083695652173912;587.3478260869565;18.1;13.3;628.0;566.0
2023;3;9;17.817204301075268;560.5698924731183;21.8;15.9;624.0;536.0
2023;3;10;17.543617021276603;545.2127659574468;18.9;15.9;588.0;522.0
2023;3;11;16.840860215053763;538.7741935483871;19.6;15.6;563.0;524.0
2023;3;12;15.686666666666671;525.6111111111111;19.7;13.4;560.0;516.0
2023;3;13;16.023404255319154;544.5744680851063;18.2;13.6;581.0;522.0
2023;3;14;16.745652173913033;536.0978260869565;17.7;15.5;551.0;522.0
2023;3;15;16.442553191489367;531.436170212766;17.4;14.3;559.0;516.0
2023;3;16;16.161956521739132;528.6086956521739;21.1;13.6;572.0;499.0
2023;3;17;16.123655913978496;507.21505376344084;20.9;13.2;560.0;476.0
2023;3;18;16.365591397849464;493.31182795698925;19.7;14.5;540.0;478.0
2023;3;19;16.304255319148943;500.72340425531917;17.7;14.8;547.0;486.0
2023;3;20;16.8247311827957;506.0;18.0;15.6;544.0;487.0
2023;3;21;18.552747252747253;522.7472527472528;22.3;15.8;567.0;492.0
2023;3;22;20.414285714285718;511.7912087912088;25.6;17.7;587.0;484.0
2023;3;23;19.661956521739125;510.7717391304348;21.3;18.4;570.0;485.0
2023;3;24;18.684946236559142;478.0967741935484;20.1;17.2;524.0;437.0
2023;3;25;19.84021739130435;460.5978260869565;25.5;17.4;493.0;441.0
2023;3;26;18.044318181818184;449.3636363636364;20.0;16.1;475.0;434.0
2023;3;27;17.337634408602153;448.2258064516129;19.6;15.4;480.0;428.0
2023;3;28;17.867032967032973;448.02197802197804;24.1;15.1;511.0;431.0
2023;3;29;17.876404494382022;454.5842696629214;22.4;14.6;475.0;440.0
2023;3;30;17.878021978021973;458.3296703296703;19.1;16.5;479.0;446.0
2023;3;31;18.175000000000008;458.3478260869565;19.3;17.1;489.0;412.0
2023;4;1;18.79893617021277;427.59574468085106;24.4;16.2;453.0;411.0
2023;4;2;18.76451612903225;425.01075268817203;21.7;16.6;443.0;409.0
2023;4;3;17.450537634408608;413.4623655913978;21.1;14.2;432.0;402.0
2023;4;4;14.62765957446809;405.5531914893617;18.5;12.1;419.0;398.0
2023;4;5;14.329787234042549;407.13829787234044;16.3;12.4;419.0;400.0
2023;4;6;15.349462365591412;411.1720430107527;20.4;12.2;425.0;402.0
2023;4;7;16.784946236559136;424.3440860215054;21.9;13.3;466.0;405.0
2023;4;8;17.639361702127662;427.4255319148936;21.6;15.2;451.0;415.0
2023;4;9;16.970652173913038;424.8369565217391;20.3;15.2;433.0;418.0
2023;4;10;17.88510638297873;426.8510638297872;22.8;14.8;443.0;420.0
2023;4;11;17.92795698924731;433.98924731182797;19.4;16.4;493.0;417.0
2023;4;12;18.861290322580643;427.7204301075269;21.3;16.0;475.0;410.0
2023;4;13;17.4741935483871;420.4731182795699;19.9;15.0;434.0;412.0
2023;4;14;17.858064516129023;417.3763440860215;20.1;15.5;479.0;409.0
2023;4;15;18.70978260869565;422.0326086956522;23.3;16.3;478.0;409.0
2023;4;16;19.773118279569893;418.81720430107526;26.4;16.6;441.0;407.0
2023;4;17;21.127956989247323;433.9139784946237;22.9;18.9;473.0;414.0
2023;4;18;22.853191489361695;439.56382978723406;25.2;20.3;504.0;410.0
2023;4;19;23.222826086956516;424.35869565217394;30.1;21.2;453.0;410.0
2023;4;20;20.17065217391304;420.6630434782609;21.2;19.3;438.0;412.0
2023;4;21;21.375531914893617;424.3936170212766;23.5;19.0;450.0;412.0
2023;4;22;23.11827956989247;438.1720430107527;29.3;20.4;473.0;418.0
2023;4;23;23.673118279569913;418.3440860215054;28.0;22.0;448.0;407.0
2023;4;24;21.90752688172043;413.2795698924731;22.7;21.0;444.0;401.0
2023;4;25;20.230434782608697;410.7826086956522;21.9;17.6;434.0;400.0
2023;4;26;21.738461538461536;421.7362637362637;28.9;17.6;466.0;403.0
2023;4;27;22.625531914893628;420.22340425531917;29.6;19.4;473.0;404.0
2023;4;28;22.235164835164845;427.34065934065933;23.5;20.7;491.0;406.0
2023;4;29;22.22150537634409;426.16129032258067;23.5;20.6;472.0;412.0
2023;4;30;23.164893617021278;426.28723404255317;24.6;21.5;455.0;408.0
2023;5;1;22.26813186813187;408.4065934065934;24.5;20.5;433.0;399.0
2023;5;2;20.441489361702125;414.93617021276594;21.6;19.7;421.0;410.0
2023;5;3;21.74444444444444;418.73333333333335;22.8;20.2;463.0;404.0
2023;5;4;24.020212765957453;424.5851063829787;29.7;20.7;464.0;408.0
2023;5;5;24.869148936170216;437.2340425531915;28.5;22.3;500.0;407.0
2023;5;6;26.137234042553178;431.1276595744681;31.5;23.9;489.0;404.0
2023;5;7;26.87021276595744;433.97872340425533;31.7;24.1;491.0;411.0
2023;5;8;24.668817204301064;422.3763440860215;25.7;22.9;445.0;414.0
2023;5;9;24.158730158730158;413.6825396825397;29.4;22.2;427.0;404.0
2023;5;18;23.518750000000004;411.46875;24.6;22.2;440.0;400.0
2023;5;19;21.23763440860215;411.44086021505376;23.0;18.6;434.0;402.0
2023;5;20;21.84042553191489;415.43617021276594;24.0;20.1;441.0;404.0
2023;5;21;24.441758241758244;412.2967032967033;27.9;21.4;442.0;400.0
2023;5;22;25.280645161290316;418.38709677419354;28.5;22.5;438.0;400.0
2023;5;23;25.805376344086017;453.44086021505376;28.3;22.7;509.0;422.0
2023;5;24;25.689130434782605;440.14130434782606;27.2;23.2;505.0;411.0
2023;5;25;25.526373626373612;426.9230769230769;27.9;22.6;456.0;411.0
2023;5;26;26.720879120879115;442.1208791208791;29.1;23.3;510.0;409.0
2023;5;27;26.085714285714282;418.25274725274727;27.7;23.5;454.0;407.0
2023;5;28;26.267032967032964;409.0;27.7;24.0;432.0;400.0
2023;5;29;26.735869565217378;418.5978260869565;28.8;23.7;443.0;400.0
2023;5;30;27.212903225806443;419.9139784946237;29.2;24.5;460.0;398.0
2023;5;31;25.464130434782618;412.39130434782606;28.1;23.1;429.0;401.0
2023;6;1;26.781318681318684;416.43956043956047;29.6;24.0;441.0;405.0
2023;6;2;27.552688172043;424.9032258064516;30.1;25.3;482.0;406.0
2023;6;3;26.73440860215054;428.02150537634407;28.7;24.3;448.0;411.0
2023;6;4;25.901063829787233;425.1063829787234;27.6;23.7;437.0;410.0
2023;6;5;24.055913978494615;429.10752688172045;27.0;21.8;449.0;416.0
2023;6;6;24.567021276595728;432.78723404255317;26.6;22.7;450.0;421.0
2023;6;7;26.195698924731197;438.98924731182797;28.3;23.3;499.0;420.0
2023;6;8;27.090425531914878;432.36170212765956;29.8;23.9;461.0;412.0
2023;6;9;27.218181818181804;432.89772727272725;29.5;24.4;486.0;417.0
2023;6;10;26.9159574468085;429.32978723404256;29.3;24.4;460.0;415.0
2023;6;11;27.238888888888898;425.52222222222224;29.9;24.9;464.0;404.0
2023;6;12;27.71612903225806;419.98924731182797;29.9;25.0;447.0;407.0
2023;6;13;25.552688172043005;416.1720430107527;28.5;22.2;435.0;400.0
2023;6;14;26.369148936170212;413.78723404255317;28.4;23.6;459.0;400.0
2023;6;15;26.77340425531916;409.8936170212766;28.9;23.8;464.0;394.0
2023;6;16;27.24615384615385;408.1208791208791;29.5;24.6;423.0;395.0
2023;6;17;28.064893617021262;421.43617021276594;30.3;25.7;451.0;403.0
2023;6;18;28.107526881720414;432.83870967741933;30.4;25.0;487.0;408.0
2023;6;19;28.692553191489374;440.71276595744683;30.5;26.2;493.0;414.0
2023;6;20;29.646666666666665;431.43333333333334;31.9;27.0;467.0;412.0
2023;6;21;30.038297872340426;461.031914893617;31.9;27.8;523.0;426.0
2023;6;22;30.613043478260874;438.5;32.4;28.8;530.0;420.0
2023;6;23;29.88602150537634;460.0860215053763;31.8;28.7;537.0;423.0
2023;6;24;29.508695652173916;425.2282608695652;31.1;28.0;476.0;408.0
2023;6;25;29.39444444444444;424.05555555555554;32.1;27.7;432.0;408.0
2023;6;26;29.828723404255324;432.63829787234044;32.5;27.3;516.0;412.0
2023;6;27;29.808602150537652;429.98924731182797;32.2;26.2;474.0;410.0
2023;6;28;27.52608695652173;417.8152173913044;29.4;25.0;437.0;404.0
2023;6;29;28.385106382978744;425.13829787234044;30.4;25.3;509.0;397.0
2023;6;30;28.851086956521748;419.75;30.6;26.1;491.0;400.0
2023;7;1;26.298924731182797;416.97849462365593;28.5;24.2;437.0;405.0
2023;7;2;27.69574468085106;422.74468085106383;29.9;25.0;462.0;405.0
2023;7;3;27.363829787234046;420.09574468085106;29.1;25.8;453.0;404.0
2023;7;4;28.059574468085106;411.8085106382979;30.1;24.3;423.0;403.0
