year;month;day;avg_temperature;avg_co2;max_temperature;min_temperature;max_co2;min_co2
2023;2;14;14.034615384615382;571.1923076923077;15.3;12.5;658.0;546.0
2023;2;15;15.31318681318681;574.4615384615385;28.0;10.7;643.0;525.0
2023;2;16;12.613978494623655;543.8602150537635;14.9;8.6;595.0;509.0
2023;2;17;12.882978723404255;541.3404255319149;20.3;10.2;595.0;505.0
2023;2;18;13.484042553191495;518.7021276595744;16.5;10.9;535.0;507.0
2023;2;19;12.99891304347826;517.0108695652174;15.5;11.7;550.0;497.0
2023;2;20;14.404255319148943;555.2659574468086;18.4;11.3;703.0;505.0
2023;2;21;14.161702127659579;540.8085106382979;16.9;12.0;664.0;502.0
2023;2;22;14.856521739130429;525.2065217391304;16.1;13.7;592.0;493.0
2023;2;23;15.044680851063838;490.47872340425533;17.7;13.4;584.0;449.0
2023;2;24;13.973913043478264;474.8804347826087;17.5;11.6;542.0;435.0
2023;2;25;16.090425531914892;453.3936170212766;21.7;12.5;474.0;439.0
2023;2;26;11.749462365591397;425.752688172043;15.3;10.1;464.0;420.0
2023;2;27;11.780851063829793;444.28723404255317;18.0;9.1;542.0;424.0
2023;2;28;12.238202247191012;452.4831460674157;23.2;8.5;558.0;428.0
2023;3;1;12.084946236559139;452.8817204301075;15.2;9.6;540.0;428.0
2023;3;2;13.877173913043478;450.7717391304348;18.4;11.4;508.0;429.0
2023;3;3;15.523913043478256;452.0978260869565;26.3;10.9;524.0;427.0
2023;3;4;15.994680851063825;437.5531914893617;32.5;11.1;468.0;416.0
2023;3;5;14.355434782608691;450.79347826086956;28.8;10.8;502.0;422.0
2023;3;6;15.076086956521737;462.94565217391306;20.3;12.7;597.0;431.0
2023;3;7;14.5;455.3440860215054;17.1;12.5;581.0;416.0
2023;3;8;15.87741935483871;448.4193548387097;28.8;12.3;519.0;415.0
2023;3;9;19.24731182795698;454.96774193548384;31.6;15.3;519.0;415.0
2023;3;10;17.12795698924731;436.3010752688172;20.4;15.1;476.0;410.0
2023;3;11;17.386956521739126;420.5108695652174;30.5;14.7;449.0;404.0
2023;3;12;16.384042553191488;407.4468085106383;32.9;13.2;433.0;400.0
2023;3;13;17.150000000000002;432.97872340425533;28.6;12.8;465.0;415.0
2023;3;14;17.128571428571433;422.4835164835165;19.3;15.9;459.0;405.0
2023;3;15;16.219148936170217;416.01063829787233;18.8;14.7;442.0;399.0
2023;3;16;15.429347826086953;414.45652173913044;28.8;12.5;451.0;397.0
2023;3;17;15.533333333333333;428.2043010752688;29.0;11.8;478.0;408.0
2023;3;18;15.67717391304348;426.0978260869565;23.3;13.0;508.0;412.0
