year;month;day;avg_temperature;avg_co2;max_temperature;min_temperature;max_co2;min_co2
2023;2;14;15.468421052631578;520.0;27.2;11.8;572.0;476.0
2023;2;15;15.613978494623655;499.9462365591398;31.1;8.8;592.0;445.0
2023;2;16;10.85978260869565;465.2826086956522;12.9;7.3;507.0;444.0
2023;2;17;12.079120879120882;499.2857142857143;20.6;8.0;636.0;449.0
2023;2;18;12.11914893617021;498.20212765957444;14.1;10.9;514.0;475.0
2023;2;19;12.586021505376344;496.247311827957;14.9;11.6;554.0;473.0
2023;2;20;14.376344086021508;498.6236559139785;27.7;10.5;585.0;435.0
2023;2;21;12.894565217391307;454.5217391304348;16.3;10.5;487.0;429.0
2023;2;22;14.256989247311829;438.2795698924731;20.7;12.9;482.0;418.0
2023;2;23;14.506521739130429;435.5652173913044;16.1;13.3;474.0;409.0
2023;2;24;13.67553191489362;430.3723404255319;21.5;11.7;498.0;401.0
2023;2;25;15.467391304347826;427.95652173913044;25.0;12.2;515.0;403.0
2023;2;26;10.73043478260869;397.9891304347826;14.9;9.0;503.0;388.0
2023;2;27;9.9494623655914;399.2795698924731;19.4;7.7;409.0;390.0
2023;2;28;11.188043478260871;406.1630434782609;23.7;7.6;420.0;395.0
2023;3;1;10.526881720430106;404.89247311827955;13.5;8.6;418.0;392.0
2023;3;2;12.643010752688173;419.03225806451616;19.4;10.2;454.0;406.0
2023;3;3;15.149999999999997;565.4239130434783;29.5;10.0;943.0;433.0
2023;3;4;16.256521739130438;442.0217391304348;30.9;9.9;1007.0;402.0
2023;3;5;14.827956989247312;466.68817204301075;26.3;9.6;556.0;438.0
2023;3;6;14.232258064516133;449.97849462365593;18.3;11.9;504.0;432.0
2023;3;7;14.302150537634407;449.6989247311828;24.7;11.4;487.0;430.0
2023;3;8;15.502173913043478;454.4021739130435;24.0;11.3;491.0;433.0
2023;3;9;18.5531914893617;459.6489361702128;29.5;14.7;490.0;428.0
2023;3;10;18.135164835164833;448.6373626373626;30.4;14.1;481.0;428.0
2023;3;11;16.77021276595745;446.90425531914894;26.5;14.2;488.0;430.0
2023;3;12;16.335483870967742;425.6666666666667;27.5;12.4;496.0;410.0
2023;3;13;16.292391304347824;434.4891304347826;25.0;12.0;460.0;418.0
2023;3;14;16.146739130434792;425.04347826086956;17.7;14.9;463.0;413.0
2023;3;15;16.04148936170213;423.2340425531915;27.0;13.1;499.0;405.0
2023;3;16;15.561538461538452;422.967032967033;27.4;11.5;456.0;410.0
2023;3;17;15.807446808510639;431.32978723404256;27.3;10.8;482.0;412.0
2023;3;18;15.91612903225806;426.63440860215053;27.5;11.7;466.0;411.0
2023;3;19;15.892473118279558;433.80645161290323;20.7;13.3;473.0;417.0
2023;3;20;15.927472527472528;433.2857142857143;21.5;14.4;473.0;414.0
2023;3;21;18.729347826086954;453.85869565217394;29.3;13.4;498.0;426.0
2023;3;22;20.337634408602145;456.31182795698925;31.1;16.3;526.0;423.0
2023;3;23;19.152747252747258;492.5824175824176;26.7;16.2;637.0;455.0
2023;3;24;17.7031914893617;499.78723404255317;27.0;15.1;685.0;409.0
2023;3;25;19.326881720430105;425.752688172043;29.5;15.0;453.0;404.0
2023;3;26;17.438202247191015;428.5730337078652;26.2;14.2;492.0;402.0
2023;3;27;16.434408602150537;429.7956989247312;24.5;13.1;510.0;391.0
2023;3;28;16.639784946236556;435.9032258064516;24.9;12.0;471.0;415.0
2023;3;29;17.21797752808989;526.2471910112359;24.6;12.8;939.0;425.0
2023;3;30;17.437078651685397;531.5505617977528;21.2;14.9;838.0;440.0
2023;3;31;16.815957446808515;515.7765957446809;18.6;15.7;977.0;425.0
2023;4;1;17.93870967741935;462.03225806451616;24.3;14.0;793.0;417.0
2023;4;2;19.201098901098902;437.3736263736264;28.2;15.1;480.0;418.0
2023;4;3;17.222826086956513;413.1195652173913;22.8;13.2;436.0;397.0
2023;4;4;14.152173913043486;411.1195652173913;20.7;10.3;424.0;401.0
2023;4;5;13.491489361702126;412.06382978723406;18.6;10.5;430.0;403.0
2023;4;6;14.701086956521738;463.8804347826087;20.5;10.6;524.0;412.0
2023;4;7;15.770212765957446;485.13829787234044;21.9;11.1;523.0;456.0
2023;4;8;17.530434782608697;484.1847826086956;23.7;13.5;551.0;459.0
2023;4;9;17.196666666666665;476.4555555555556;22.2;14.1;499.0;463.0
2023;4;10;17.741573033707862;487.0674157303371;23.3;13.1;523.0;465.0
2023;4;11;17.222340425531907;523.7021276595744;21.4;14.7;601.0;489.0
2023;4;12;17.134408602150536;494.3333333333333;20.2;14.6;575.0;426.0
2023;4;13;15.172222222222222;427.3666666666667;18.3;13.3;478.0;415.0
2023;4;14;14.772826086956531;425.7608695652174;20.9;12.0;447.0;411.0
2023;4;15;17.210989010989014;454.2857142857143;24.4;13.0;528.0;433.0
2023;4;16;18.01098901098901;442.1978021978022;24.8;13.1;482.0;422.0
2023;4;17;18.96236559139785;465.2795698924731;23.7;15.8;729.0;433.0
2023;4;18;20.721505376344084;455.61290322580646;25.6;16.8;522.0;421.0
2023;4;19;20.686956521739138;431.0869565217391;27.2;17.9;455.0;416.0
2023;4;20;18.21413043478261;431.4347826086956;20.4;16.4;519.0;419.0
2023;4;21;19.999999999999996;561.563829787234;26.4;16.5;795.0;418.0
2023;4;22;20.957142857142852;546.6043956043956;27.3;16.8;635.0;482.0
2023;4;23;21.278260869565205;484.9021739130435;26.9;18.4;506.0;470.0
2023;4;24;19.41170212765958;475.031914893617;22.8;17.4;496.0;464.0
2023;4;25;17.697802197802194;447.8241758241758;23.3;15.1;527.0;409.0
2023;4;26;18.374999999999996;424.05434782608694;24.3;13.8;458.0;405.0
2023;4;27;19.94255319148936;425.3510638297872;25.5;15.7;464.0;409.0
2023;4;28;20.1445652173913;434.80434782608694;25.8;16.8;484.0;414.0
2023;4;29;20.094680851063828;443.6170212765957;24.9;17.5;507.0;426.0
2023;4;30;22.015053763440854;444.98924731182797;28.2;18.5;544.0;423.0
2023;5;1;20.93186813186813;417.7802197802198;24.6;18.1;455.0;409.0
2023;5;2;18.467741935483872;416.6666666666667;19.6;17.4;424.0;410.0
2023;5;3;19.86624999999999;433.325;23.6;17.7;487.0;417.0
2023;5;4;21.914893617021264;444.4148936170213;27.2;17.3;503.0;422.0
2023;5;5;23.064835164835166;446.9340659340659;29.1;18.7;506.0;419.0
2023;5;6;24.115053763440862;444.5483870967742;30.1;19.8;487.0;424.0
2023;5;7;24.574193548387093;444.6989247311828;30.3;20.6;486.0;423.0
2023;5;8;22.533333333333328;433.13978494623655;25.6;20.1;496.0;418.0
2023;5;9;22.504918032786893;417.88524590163934;27.7;19.5;426.0;408.0
2023;5;18;22.4875;446.75;24.8;20.1;470.0;429.0
2023;5;19;21.060638297872345;423.1914893617021;25.4;18.6;485.0;408.0
2023;5;20;22.087096774193544;429.44086021505376;24.5;20.3;486.0;405.0
2023;5;21;26.05543478260869;429.20652173913044;32.9;21.3;522.0;413.0
2023;5;22;27.04673913043478;426.5326086956522;32.4;22.4;446.0;411.0
2023;5;23;26.828571428571426;451.8241758241758;32.4;22.3;505.0;425.0
2023;5;24;26.38901098901099;431.24175824175825;31.8;23.0;475.0;413.0
2023;5;25;27.041304347826088;426.29347826086956;31.9;22.5;459.0;414.0
2023;5;26;27.789247311827967;438.1505376344086;32.1;23.2;502.0;411.0
2023;5;27;27.593406593406584;422.83516483516485;32.8;23.2;501.0;399.0
2023;5;28;27.4695652173913;416.2608695652174;32.1;24.1;447.0;403.0
2023;5;29;28.05494505494506;427.13186813186815;33.2;23.4;472.0;408.0
2023;5;30;28.245161290322578;419.8709677419355;33.1;25.0;538.0;398.0
2023;5;31;26.55208333333334;411.15625;31.9;23.0;436.0;397.0
2023;6;1;26.932258064516148;411.7204301075269;32.2;23.6;426.0;401.0
2023;6;2;27.994565217391305;422.95652173913044;32.9;24.4;458.0;408.0
2023;6;3;27.507446808510636;426.56382978723406;32.6;24.2;442.0;415.0
2023;6;4;27.173863636363645;419.75;32.8;24.0;438.0;410.0
2023;6;5;24.359782608695646;417.4891304347826;28.6;21.8;431.0;410.0
2023;6;6;25.0436170212766;450.8723404255319;31.2;22.1;555.0;414.0
2023;6;7;26.077419354838717;452.9462365591398;30.6;22.3;552.0;431.0
2023;6;8;27.60652173913042;442.7282608695652;32.8;23.6;513.0;425.0
2023;6;9;27.532608695652165;455.9673913043478;33.1;23.7;494.0;434.0
2023;6;10;27.397849462365606;439.505376344086;32.2;24.5;522.0;405.0
2023;6;11;28.096703296703293;445.4835164835165;34.2;24.3;476.0;433.0
2023;6;12;28.19255319148936;432.28723404255317;32.8;25.0;458.0;419.0
2023;6;13;26.35760869565216;424.5326086956522;31.0;22.6;449.0;410.0
2023;6;14;27.31739130434782;423.9891304347826;33.7;23.3;450.0;401.0
2023;6;15;28.137777777777764;407.9;33.0;24.0;443.0;395.0
2023;6;16;27.894680851063832;405.6063829787234;33.1;24.2;417.0;392.0
2023;6;17;27.57065217391305;414.54347826086956;31.7;23.5;456.0;402.0
2023;6;18;28.51413043478259;435.2608695652174;32.8;24.7;531.0;410.0
2023;6;19;29.565957446808522;436.06382978723406;36.1;25.6;486.0;411.0
2023;6;20;30.6142857142857;430.24175824175825;36.1;26.9;452.0;417.0
2023;6;21;30.97555555555555;455.5888888888889;36.6;27.2;505.0;420.0
2023;6;22;31.953763440860214;437.0430107526882;36.6;29.0;516.0;420.0
2023;6;23;31.688297872340424;455.70212765957444;38.2;29.0;522.0;431.0
2023;6;24;30.474193548387106;436.3010752688172;35.5;27.3;475.0;421.0
2023;6;25;30.847826086956523;416.82608695652175;35.1;27.7;433.0;404.0
2023;6;26;30.806382978723413;421.59574468085106;34.9;27.3;498.0;406.0
2023;6;27;30.814130434782594;414.1630434782609;35.8;26.9;448.0;403.0
2023;6;28;28.10326086956522;404.3695652173913;32.3;25.3;413.0;396.0
2023;6;29;29.132258064516126;412.3225806451613;33.6;25.5;470.0;397.0
2023;6;30;28.31111111111111;432.9;31.7;25.2;483.0;402.0
2023;7;1;26.69032258064517;446.2795698924731;30.9;24.2;472.0;431.0
2023;7;2;28.498924731182793;462.23655913978496;33.3;24.7;508.0;444.0
2023;7;3;29.576344086021514;478.7096774193548;35.1;26.6;505.0;448.0
2023;7;4;29.8090909090909;483.29545454545456;36.9;24.4;519.0;453.0
2023;7;5;29.106451612903236;471.93548387096774;34.6;24.8;541.0;447.0
2023;7;6;27.531182795698932;453.494623655914;30.4;25.3;532.0;425.0
2023;7;7;29.950000000000003;464.47872340425533;35.3;25.3;533.0;443.0
2023;7;8;30.400000000000002;478.4021739130435;35.0;26.5;550.0;446.0
2023;7;9;31.51612903225807;452.98924731182797;36.5;28.0;581.0;432.0
2023;7;10;32.69021739130435;470.0652173913044;37.3;29.5;569.0;426.0
2023;7;11;32.763043478260876;437.92391304347825;36.8;30.1;503.0;412.0
2023;7;12;31.926595744680846;459.4574468085106;37.0;28.8;501.0;441.0
2023;7;13;30.580645161290338;451.81720430107526;36.5;27.1;482.0;426.0
2023;7;14;31.20108695652176;444.6847826086956;37.6;26.5;508.0;423.0
2023;7;15;31.88478260869565;457.7608695652174;36.6;28.2;551.0;431.0
2023;7;16;32.702173913043495;461.2826086956522;37.5;29.6;539.0;434.0
2023;7;17;33.77659574468086;482.0851063829787;39.3;30.6;543.0;455.0
2023;7;18;34.41758241758242;765.7912087912088;39.9;30.8;1172.0;419.0
2023;7;19;33.78241758241757;423.2857142857143;39.7;29.3;475.0;380.0
2023;7;20;32.6483870967742;404.9247311827957;38.9;28.0;434.0;383.0
2023;7;21;30.84725274725275;391.5274725274725;35.3;28.1;418.0;371.0
2023;7;22;29.73655913978495;387.61290322580646;37.0;26.6;409.0;368.0
2023;7;23;31.053932584269663;386.7191011235955;37.5;26.1;415.0;377.0
2023;7;24;31.30425531914894;393.74468085106383;34.8;28.6;436.0;372.0
2023;7;25;28.48260869565217;391.1195652173913;34.1;25.0;425.0;367.0
2023;7;26;27.92150537634409;397.247311827957;33.9;23.9;409.0;384.0
2023;7;27;27.2808988764045;401.9438202247191;32.4;22.7;433.0;392.0
2023;7;28;29.43333333333333;421.23655913978496;34.3;25.0;464.0;402.0
2023;7;29;30.58387096774192;429.6236559139785;34.8;27.1;486.0;402.0
2023;7;30;30.268478260869575;410.5326086956522;35.3;25.2;458.0;394.0
2023;7;31;30.731521739130432;414.80434782608694;35.4;27.1;446.0;399.0
2023;8;1;30.622580645161296;419.3763440860215;34.8;27.3;471.0;397.0
2023;8;2;29.540425531914885;418.13829787234044;36.4;25.2;427.0;397.0
2023;8;3;30.844086021505376;437.0967741935484;35.8;26.9;480.0;415.0
2023;8;4;28.43586956521739;459.9782608695652;32.7;24.7;508.0;435.0
2023;8;5;24.94505494505494;434.27472527472526;27.4;23.0;462.0;425.0
2023;8;6;26.940860215053767;446.0967741935484;33.2;23.8;513.0;419.0
2023;8;7;27.510752688172033;438.51612903225805;33.7;22.3;459.0;424.0
2023;8;8;27.51170212765959;441.7340425531915;33.2;23.0;484.0;430.0
2023;8;9;28.077419354838717;450.86021505376345;32.9;24.7;499.0;420.0
2023;8;10;28.941935483870967;429.2043010752688;34.2;25.2;499.0;414.0
