year;month;day;avg_temperature;avg_co2;max_temperature;min_temperature;max_co2;min_co2
2023;2;1;8.812727272727274;472.76363636363635;22.5;2.0;519.0;452.0
2023;2;2;5.58494623655914;512.6344086021505;23.5;-0.7;563.0;484.0
2023;2;3;7.0043010752688195;481.64516129032256;22.4;1.4;520.0;459.0
2023;2;4;7.718478260869567;500.75;25.7;1.4;574.0;438.0
2023;2;5;6.138043478260868;442.44565217391306;8.9;3.6;485.0;426.0
2023;2;6;4.3247311827956985;443.86021505376345;12.0;0.2;456.0;429.0
2023;2;7;4.312222222222224;455.35555555555555;27.7;-2.7;522.0;426.0
2023;2;8;3.2215053763440844;421.741935483871;19.6;-2.6;437.0;407.0
2023;2;9;3.6858695652173923;423.32608695652175;24.4;-2.7;462.0;407.0
2023;2;10;4.744565217391303;452.8478260869565;30.0;-4.0;491.0;412.0
2023;2;11;5.35268817204301;469.48387096774195;26.6;-2.5;523.0;425.0
2023;2;12;7.992473118279571;498.5483870967742;32.3;-0.8;614.0;414.0
2023;2;13;9.836263736263733;448.2967032967033;33.2;2.3;519.0;418.0
2023;2;14;9.593478260869563;473.75;33.1;1.2;553.0;432.0
2023;2;15;10.67802197802198;487.24175824175825;36.3;1.6;572.0;437.0
2023;2;16;6.670212765957448;460.0;11.3;1.8;511.0;435.0
2023;2;17;9.781914893617023;474.3829787234043;23.9;3.5;532.0;443.0
2023;2;18;9.334782608695647;456.2826086956522;13.5;7.3;471.0;444.0
2023;2;19;9.198924731182798;454.0430107526882;14.9;5.2;509.0;429.0
2023;2;20;11.605434782608697;473.39130434782606;32.5;4.8;531.0;431.0
2023;2;21;9.134408602150534;457.3333333333333;16.0;4.9;492.0;428.0
2023;2;22;12.303225806451618;448.0430107526882;24.2;9.1;477.0;423.0
2023;2;23;12.15425531914894;442.17021276595744;17.7;8.0;542.0;411.0
2023;2;24;10.506593406593405;439.74725274725273;24.9;5.5;495.0;397.0
2023;2;25;12.5010989010989;411.010989010989;25.0;7.8;425.0;399.0
2023;2;26;7.955434782608699;379.29347826086956;10.7;5.7;413.0;371.0
2023;2;27;7.931521739130439;387.25;22.1;4.4;409.0;375.0
2023;2;28;8.316304347826081;391.75;26.7;2.2;415.0;381.0
2023;3;1;7.382474226804125;389.0515463917526;14.3;3.4;407.0;378.0
2023;3;2;9.492391304347828;413.82608695652175;22.0;5.1;451.0;389.0
2023;3;3;12.70322580645161;442.3010752688172;32.8;3.7;486.0;419.0
2023;3;4;13.695744680851066;441.7340425531915;37.4;4.4;486.0;416.0
2023;3;5;12.613043478260863;449.39130434782606;31.9;3.3;484.0;416.0
2023;3;6;11.872340425531915;439.031914893617;25.6;7.1;465.0;425.0
2023;3;7;12.206521739130437;440.57608695652175;30.5;5.1;489.0;413.0
2023;3;8;13.150549450549448;442.9120879120879;31.4;5.1;472.0;420.0
2023;3;9;16.97446808510638;451.0425531914894;33.8;11.0;485.0;419.0
2023;3;10;16.83085106382979;430.4255319148936;36.6;9.2;451.0;411.0
2023;3;11;14.718279569892472;424.76344086021504;32.7;9.1;444.0;407.0
2023;3;12;14.87634408602151;416.7096774193548;34.1;7.8;443.0;405.0
2023;3;13;14.158510638297873;435.6063829787234;31.4;6.1;457.0;408.0
2023;3;14;12.4967032967033;417.35164835164835;17.1;10.9;425.0;406.0
2023;3;15;12.950537634408603;422.03225806451616;35.5;6.9;442.0;406.0
2023;3;16;13.500000000000002;423.0888888888889;35.6;3.7;451.0;400.0
2023;3;17;14.208695652173915;431.9347826086956;33.1;4.3;467.0;406.0
2023;3;18;13.748913043478263;431.9891304347826;36.6;4.1;497.0;403.0
2023;3;19;13.880851063829791;435.93617021276594;28.7;6.7;465.0;422.0
2023;3;20;13.20752688172043;442.7096774193548;32.1;9.6;477.0;414.0
2023;3;21;18.364130434782613;449.44565217391306;38.7;7.5;498.0;414.0
2023;3;22;19.922340425531914;445.48936170212767;39.6;11.6;509.0;406.0
2023;3;23;17.824444444444453;443.7;37.9;9.8;489.0;415.0
2023;3;24;16.375000000000004;441.1304347826087;35.6;11.0;470.0;419.0
2023;3;25;17.11195652173913;432.8152173913044;38.3;9.3;457.0;412.0
2023;3;26;15.35393258426966;423.39325842696627;37.7;8.2;438.0;415.0
2023;3;27;14.83695652173913;424.7826086956522;33.1;8.2;453.0;401.0
2023;3;28;15.667391304347822;423.4130434782609;38.5;3.8;450.0;398.0
2023;3;29;16.892222222222227;425.93333333333334;37.3;6.9;450.0;406.0
2023;3;30;14.741304347826087;428.6521739130435;25.0;9.9;443.0;409.0
2023;3;31;14.420430107526881;433.1505376344086;22.5;10.7;444.0;419.0
2023;4;1;17.938297872340424;436.8510638297872;38.1;7.8;463.0;422.0
2023;4;2;19.145744680851056;433.9148936170213;40.8;10.0;461.0;415.0
2023;4;3;17.078021978021976;424.38461538461536;32.6;10.1;445.0;397.0
2023;4;4;13.754945054945061;412.05494505494505;32.9;4.4;435.0;400.0
2023;4;5;12.428260869565218;412.7173913043478;34.2;4.4;432.0;399.0
2023;4;6;14.299999999999999;419.4301075268817;33.6;4.3;442.0;404.0
2023;4;7;14.646236559139783;428.89247311827955;33.8;4.7;455.0;405.0
2023;4;8;17.322471910112363;428.9550561797753;36.0;7.8;444.0;412.0
2023;4;9;16.529999999999998;436.8142857142857;34.3;10.0;452.0;419.0
