Date,Temperature,Humidity,CO2,PREC,VVENTOMEDIO,DVENTOPREV
2023-2-14,14.55,52.51,540.14,0.00,0.66,144.73
2023-2-15,12.04,57.71,593.31,0.00,0.65,147.21
2023-2-16,10.00,75.60,554.86,0.00,0.78,65.56
2023-2-17,10.98,70.96,558.79,0.00,1.01,180.72
2023-2-18,12.49,70.71,524.76,0.00,0.86,116.00
2023-2-19,12.81,70.49,512.29,0.00,0.54,108.87
2023-2-20,13.97,63.94,563.57,0.00,0.71,220.21
2023-2-21,12.46,69.94,578.24,0.00,0.79,95.87
2023-2-22,14.14,68.70,566.49,0.00,0.73,110.82
2023-2-23,15.28,64.27,545.29,0.00,0.34,175.35
2023-2-24,14.12,65.34,526.62,0.00,0.93,114.46
2023-2-25,14.36,69.32,516.67,0.00,1.10,73.86
2023-2-26,11.01,49.40,526.46,0.00,5.37,39.19
2023-2-27,9.93,43.29,512.18,0.00,4.40,44.02
2023-2-28,10.17,47.31,535.95,0.00,3.68,45.00
2023-3-1,10.52,53.96,523.17,0.05,4.30,31.21
2023-3-2,12.75,56.07,526.91,0.01,2.32,31.21
2023-3-3,12.68,56.40,542.55,0.00,1.79,23.47
2023-3-4,13.54,53.52,541.00,0.00,1.72,77.66
2023-3-5,12.80,60.71,553.00,0.00,1.29,125.56
2023-3-6,13.93,62.82,568.29,0.00,1.21,81.14
2023-3-7,13.70,63.95,590.24,0.00,1.22,171.53
2023-3-8,14.82,60.19,559.35,0.00,1.24,119.52
2023-3-9,16.70,62.00,519.07,0.00,1.48,78.51
2023-3-10,17.27,62.55,548.37,0.00,1.40,125.85
2023-3-11,16.57,64.73,486.14,0.00,1.35,135.00
2023-3-12,18.20,46.17,459.11,0.00,2.33,66.29
2023-3-13,15.96,58.97,492.99,0.00,1.38,50.74
2023-3-14,16.35,68.96,454.62,0.12,1.92,33.75
2023-3-15,16.13,52.75,454.73,0.15,1.70,142.74
2023-3-16,15.16,41.11,453.14,0.00,1.80,127.50
2023-3-17,14.14,47.48,462.71,0.00,1.26,172.02
2023-3-18,15.65,51.07,472.37,0.00,1.19,144.44
2023-3-19,15.78,57.95,759.85,0.02,1.11,70.85
2023-3-20,17.11,63.41,942.46,0.04,1.10,109.57
2023-3-21,17.63,61.70,957.52,0.00,0.93,223.76
2023-3-22,19.78,55.68,429.49,0.00,1.29,158.22
2023-3-23,19.15,58.32,429.13,0.00,1.24,85.40
2023-3-24,18.72,64.12,425.28,0.00,1.59,104.67
2023-3-25,18.42,61.00,413.73,0.00,1.93,132.28
2023-3-26,16.14,63.90,402.58,0.68,1.99,87.25
2023-3-27,15.62,64.02,405.93,0.11,2.10,95.69
2023-3-28,15.12,32.17,398.64,0.00,2.23,135.00
2023-3-29,16.71,52.12,441.12,0.00,2.14,107.50
2023-3-30,17.34,61.49,465.48,0.00,1.62,42.10
2023-3-31,17.14,67.98,498.21,0.00,1.23,84.81
2023-4-1,17.97,63.31,498.72,0.00,1.53,73.24
2023-4-2,19.29,57.88,519.42,0.00,1.78,83.23
2023-4-3,17.61,43.46,461.45,0.00,4.23,64.35
2023-4-4,15.05,31.81,462.52,0.00,3.35,74.76
2023-4-5,13.71,32.79,460.18,0.00,2.30,84.68
2023-4-6,14.34,40.97,458.26,0.00,1.95,130.21
2023-4-7,14.89,50.61,447.46,0.00,1.48,111.05
2023-4-8,16.63,53.83,432.83,0.00,1.79,49.75
2023-4-9,16.41,46.54,448.48,0.00,2.25,63.63
2023-4-10,16.95,43.09,442.47,0.00,2.05,116.37
2023-4-11,18.19,45.72,457.09,0.00,1.66,139.65
2023-4-12,17.57,48.52,443.09,0.00,1.60,54.00
2023-4-13,13.89,70.16,427.69,0.20,3.42,15.33
2023-4-14,14.62,60.46,417.84,0.27,2.27,159.95
