Date,Temperature,Humidity,CO2,PREC,VVENTOMEDIO,DVENTOPREV
2023-2-14,15.47,47.67,520.00,0.00,0.68,149.21
2023-2-15,15.61,48.54,499.95,0.00,0.65,149.27
2023-2-16,10.86,72.02,465.28,0.00,0.78,61.14
2023-2-17,12.08,67.57,499.29,0.00,1.03,179.26
2023-2-18,12.12,72.58,498.20,0.00,0.87,113.70
2023-2-19,12.59,71.79,496.25,0.00,0.55,108.87
2023-2-20,14.38,63.46,498.62,0.00,0.71,217.50
2023-2-21,12.89,68.42,454.52,0.00,0.78,98.56
2023-2-22,14.26,67.94,438.28,0.00,0.75,107.42
2023-2-23,14.51,65.67,435.57,0.00,0.34,178.78
2023-2-24,13.68,67.40,430.37,0.00,0.92,113.94
2023-2-25,15.47,66.21,427.96,0.00,1.12,77.28
2023-2-26,10.73,48.24,397.99,0.00,5.39,39.13
2023-2-27,9.95,41.53,399.28,0.00,4.41,44.03
2023-2-28,11.19,43.33,406.16,0.00,3.67,45.00
2023-3-1,10.53,52.58,404.89,0.05,4.32,31.21
2023-3-2,12.64,55.29,419.03,0.01,2.33,30.97
2023-3-3,15.15,48.36,565.42,0.00,1.79,23.72
2023-3-4,16.26,45.17,442.02,0.00,1.71,76.06
2023-3-5,14.83,55.17,466.69,0.00,1.29,124.35
2023-3-6,14.23,61.44,449.98,0.00,1.21,81.05
2023-3-7,14.30,62.02,449.70,0.00,1.21,171.53
2023-3-8,15.50,58.15,454.40,0.00,1.22,119.84
2023-3-9,18.55,56.19,459.65,0.00,1.48,78.51
2023-3-10,18.14,58.72,448.64,0.00,1.40,130.80
2023-3-11,16.77,60.98,446.90,0.00,1.36,132.61
2023-3-12,16.34,44.45,425.67,0.00,2.34,66.05
2023-3-13,16.29,56.44,434.49,0.00,1.38,49.89
2023-3-14,16.15,70.75,425.04,0.12,1.92,33.51
2023-3-15,16.04,51.99,423.23,0.15,1.71,142.18
2023-3-16,15.56,39.19,422.97,0.00,1.79,125.60
2023-3-17,15.81,42.17,431.33,0.00,1.25,173.78
2023-3-18,15.92,48.51,426.63,0.00,1.19,144.44
2023-3-19,15.89,57.05,433.81,0.02,1.10,70.65
2023-3-20,15.93,67.21,433.29,0.04,1.11,109.29
2023-3-21,18.73,57.88,453.86,0.00,0.95,220.11
2023-3-22,20.34,53.15,456.31,0.00,1.29,158.23
2023-3-23,19.15,58.12,492.58,0.00,1.26,86.04
2023-3-24,17.70,67.00,499.79,0.00,1.60,106.99
2023-3-25,19.33,58.21,425.75,0.00,1.97,129.92
2023-3-26,17.44,59.58,428.57,0.68,1.99,86.97
2023-3-27,16.43,59.89,429.80,0.10,2.09,94.60
2023-3-28,16.64,28.27,435.90,0.00,2.24,136.45
