Year;Month;Day;Hour;CO2;VVENTOMEDIO;DVENTOPREV_SETTORE
2023;2;1;9;483;1.5;NNO
2023;2;1;10;486;1.2;NNO
2023;2;1;10;492;1.2;NNO
2023;2;1;10;485;1.2;NNO
2023;2;1;11;500;1;NE
2023;2;1;11;488;1;NE
2023;2;1;11;477;1;NE
2023;2;1;11;476;1;NE
2023;2;1;12;474;0.9;NNO
2023;2;1;12;475;0.9;NNO
2023;2;1;12;472;0.9;NNO
2023;2;1;12;478;0.9;NNO
2023;2;1;13;480;0.7;NE
2023;2;1;13;472;0.7;NE
2023;2;1;13;456;0.7;NE
2023;2;1;13;456;0.7;NE
2023;2;1;14;469;0.5;NO
2023;2;1;14;464;0.5;NO
2023;2;1;14;470;0.5;NO
2023;2;1;14;470;0.5;NO
2023;2;1;15;466;1.5;S
2023;2;1;15;464;1.5;S
2023;2;1;15;465;1.5;S
2023;2;1;15;462;1.5;S
2023;2;1;16;462;1.3;S
2023;2;1;16;464;1.3;S
2023;2;1;16;464;1.3;S
2023;2;1;16;465;1.3;S
2023;2;1;17;464;1.6;S
2023;2;1;17;465;1.6;S
2023;2;1;17;463;1.6;S
2023;2;1;17;452;1.6;S
2023;2;1;18;452;0.8;S
2023;2;1;18;454;0.8;S
2023;2;1;18;453;0.8;S
2023;2;1;18;459;0.8;S
2023;2;1;19;464;0.6;SSO
2023;2;1;19;464;0.6;SSO
2023;2;1;19;461;0.6;SSO
2023;2;1;19;462;0.6;SSO
2023;2;1;20;460;0.7;SSO
2023;2;1;20;463;0.7;SSO
2023;2;1;20;468;0.7;SSO
2023;2;1;20;471;0.7;SSO
2023;2;1;21;473;0.3;OSO
2023;2;1;21;472;0.3;OSO
2023;2;1;21;471;0.3;OSO
2023;2;1;22;475;0.1;NNO
2023;2;1;22;478;0.1;NNO
2023;2;1;22;485;0.1;NNO
2023;2;1;22;493;0.1;NNO
2023;2;1;23;497;0.3;NNO
2023;2;1;23;514;0.3;NNO
2023;2;1;23;519;0.3;NNO
2023;2;1;23;515;0.3;NNO
