Date;Temperature;Humidity;CO2
2023/11/29 15:05:04;13.90;47.30;460
2023/11/29 15:05:14;13.80;47.20;457
2023/11/29 15:05:26;13.80;46.60;458
2023/11/29 15:05:34;13.70;46.40;469
2023/11/29 15:05:44;13.60;46.20;471
2023/11/29 15:05:54;13.60;46.10;474
2023/11/29 15:06:06;13.50;46.10;465
2023/11/29 15:06:14;13.30;46.20;475
2023/11/29 15:06:26;13.20;46.30;462
2023/11/29 15:06:36;13.10;46.50;456
2023/11/29 15:06:44;13.00;46.80;461
2023/11/29 15:06:54;12.90;47.10;479
2023/11/29 15:07:06;12.80;47.40;477
2023/11/29 15:07:14;12.70;47.60;467
2023/11/29 15:07:24;12.70;47.80;475
2023/11/29 15:07:37;12.60;48.00;464
2023/11/29 15:07:45;12.50;48.30;495
2023/11/29 15:07:54;12.40;48.40;484
2023/11/29 15:08:04;12.30;48.50;487
2023/11/29 15:08:14;12.30;48.70;448
2023/11/29 15:08:27;12.20;48.90;434
2023/11/29 15:08:34;12.10;49.20;430
2023/11/29 15:08:45;12.10;49.30;422
2023/11/29 15:08:57;12.00;49.40;477
2023/11/29 15:09:06;12.00;49.60;444
2023/11/29 15:09:15;11.90;49.80;464
2023/11/29 15:09:25;11.90;50.00;460
2023/11/29 15:09:35;11.80;50.30;420
2023/11/29 15:09:45;11.80;50.80;447
2023/11/29 15:09:58;11.80;51.20;466
2023/11/29 15:10:06;11.90;51.20;470
2023/11/29 15:10:16;11.90;51.00;443
2023/11/29 15:10:25;11.90;50.80;470
2023/11/29 15:10:36;12.00;50.60;480
2023/11/29 15:10:47;12.00;50.40;495
2023/11/29 15:10:55;12.00;50.40;470
2023/11/29 15:11:06;12.00;50.40;463
2023/11/29 15:11:16;12.10;50.50;500
2023/11/29 15:11:26;12.10;50.50;500
2023/11/29 15:11:36;12.10;50.30;476
2023/11/29 15:11:46;12.10;49.90;473
2023/11/29 15:11:58;12.20;49.50;466
2023/11/29 15:12:08;12.20;49.20;468
2023/11/29 15:12:16;12.20;49.10;465
2023/11/29 15:12:26;12.20;49.10;468
2023/11/29 15:12:38;12.30;49.20;473
2023/11/29 15:12:46;12.30;49.30;476
2023/11/29 15:12:56;12.30;49.50;464
2023/11/29 15:13:07;12.40;49.50;461
2023/11/29 15:13:20;12.50;49.30;463
2023/11/29 15:13:28;12.60;49.10;459
2023/11/29 15:13:36;12.60;48.90;473
2023/11/29 15:13:46;12.60;48.70;474
2023/11/29 15:13:58;12.70;48.50;462
