Date;Temperature;Humidity;CO2;PREC;VVENTOMEDIO;DVENTOPREV
2023-2-28;12.85;43.99;417.98;0.00;3.38;50.38
2023-3-1;9.36;58.82;406.86;0.05;4.30;30.94
2023-3-2;12.26;62.02;424.10;0.01;2.32;30.88
2023-3-3;12.89;60.87;433.62;0.00;1.78;23.97
2023-3-4;14.38;55.03;438.62;0.00;1.74;78.38
2023-3-5;13.59;57.42;449.24;0.00;1.29;124.23
2023-3-6;14.00;56.11;446.21;0.00;1.20;80.95
2023-3-7;13.60;53.91;455.16;0.00;1.20;171.44
2023-3-8;15.20;58.38;518.83;0.00;1.23;118.48
2023-3-9;17.80;58.44;546.84;0.00;1.48;77.25
2023-3-10;17.78;51.76;533.69;0.00;1.42;126.77
2023-3-11;16.37;53.04;507.74;0.00;1.37;131.37
2023-3-12;16.15;48.03;509.72;0.00;2.31;67.50
2023-3-13;16.04;52.41;558.77;0.00;1.39;50.14
2023-3-14;15.07;46.99;584.61;0.12;1.92;33.51
2023-3-15;16.35;47.08;565.40;0.15;1.71;142.18
2023-3-16;15.08;44.13;516.61;0.00;1.81;127.50
2023-3-17;14.60;49.65;522.38;0.00;1.25;171.68
2023-3-18;16.14;56.03;509.01;0.00;1.19;144.44
2023-3-19;15.88;56.67;513.22;0.02;1.11;70.85
2023-3-20;17.36;54.55;513.33;0.04;1.11;109.57
2023-3-21;18.40;47.23;530.72;0.00;0.94;221.82
2023-3-22;20.81;53.22;452.50;0.00;1.29;157.74
2023-3-23;19.68;55.61;432.33;0.00;1.25;88.27
2023-3-24;19.13;50.47;426.83;0.00;1.60;104.27
2023-3-25;18.65;55.09;419.81;0.00;1.95;130.16
2023-3-26;16.55;51.57;415.91;0.69;2.00;91.26
2023-3-27;14.93;46.87;418.24;0.10;2.09;94.26
2023-3-28;14.56;35.32;412.14;0.00;2.21;135.73
2023-3-29;16.80;53.46;431.37;0.00;2.15;106.57
2023-3-30;17.54;58.63;460.21;0.00;1.63;42.22
2023-3-31;16.70;53.82;485.68;0.00;1.25;86.13
2023-4-1;18.30;46.54;507.15;0.00;1.54;72.82
2023-4-2;19.63;46.01;518.34;0.00;1.76;82.82
2023-4-3;17.76;44.54;488.35;0.00;4.25;65.03
2023-4-4;14.76;31.76;452.78;0.00;3.35;74.59
2023-4-5;14.02;32.03;434.51;0.00;2.31;83.40
2023-4-6;14.71;40.61;454.47;0.00;1.94;128.95
2023-4-7;14.53;51.69;476.24;0.00;1.47;116.90
2023-4-8;17.26;50.71;500.65;0.00;1.76;48.59
2023-4-9;16.96;45.79;461.94;0.00;2.24;63.15
2023-4-10;17.45;43.20;465.03;0.00;2.06;116.70
2023-4-11;17.98;47.75;472.12;0.00;1.67;139.84
2023-4-12;17.65;51.67;469.05;0.00;1.60;53.71
2023-4-13;13.33;51.05;450.25;0.20;3.43;15.16
2023-4-14;14.01;48.44;444.40;0.26;2.25;162.82
2023-4-15;16.96;50.11;451.07;0.00;2.43;45.00
2023-4-16;17.44;49.25;453.81;0.00;2.11;65.56
2023-4-17;17.60;50.40;466.57;0.01;0.91;198.54
2023-4-18;21.30;40.92;495.06;0.00;0.97;118.72
2023-4-19;20.82;51.44;497.23;0.00;1.68;66.99
2023-4-20;17.12;61.91;485.67;0.18;2.69;40.16
2023-4-21;21.74;56.32;507.98;0.00;1.71;75.97
2023-4-22;21.82;55.84;482.39;0.00;1.43;121.06
2023-4-23;22.85;52.81;457.41;0.00;1.68;126.53
2023-4-24;19.79;49.46;412.55;0.11;2.10;91.94
2023-4-25;17.42;53.47;377.48;1.16;1.65;97.98
2023-4-26;18.91;48.88;390.21;0.00;1.73;111.02
2023-4-27;20.39;47.50;397.76;0.00;1.60;98.56
2023-4-28;21.21;51.55;409.82;0.00;1.50;61.39
2023-4-29;21.12;53.36;407.65;0.00;1.46;65.11
2023-4-30;23.46;44.41;434.23;0.01;1.35;111.05
2023-5-1;20.54;51.31;420.30;0.23;3.22;34.73
2023-5-2;15.82;31.31;438.82;1.15;3.30;10.89
2023-5-3;20.38;50.90;515.91;0.05;2.29;19.84
2023-5-4;22.46;53.34;553.63;0.00;1.67;92.20
2023-5-5;23.63;55.35;563.97;0.00;1.37;141.94
2023-5-6;24.69;51.83;529.51;0.00;1.13;132.85
2023-5-7;26.09;50.02;486.43;0.00;1.26;92.15
2023-5-8;21.90;52.72;438.03;0.38;2.00;21.29
2023-5-9;21.34;61.42;419.18;0.01;2.89;36.75
2023-5-18;25.58;39.74;537.27;0.00;1.81;73.64
2023-5-19;21.59;55.60;538.54;0.00;2.98;53.62
2023-5-20;22.19;62.32;576.34;0.01;2.20;53.95
2023-5-21;28.48;46.18;581.07;0.00;2.58;60.16
2023-5-22;29.17;43.08;428.81;0.00;1.95;91.73
2023-5-23;28.44;49.55;434.81;0.00;1.55;109.75
2023-5-24;28.65;52.48;411.12;0.00;2.12;75.97
2023-5-25;28.74;51.74;400.20;0.00;2.10;111.03
2023-5-26;29.25;48.54;410.39;0.00;1.42;88.53
2023-5-27;28.76;45.94;390.98;0.07;1.71;78.87
2023-5-28;29.58;40.04;380.77;0.00;1.83;79.23
2023-5-29;29.16;42.25;395.20;0.00;2.25;87.53
2023-5-30;28.91;40.07;408.96;0.00;2.61;46.69
2023-5-31;27.04;45.01;396.65;0.00;3.33;43.06
2023-6-1;28.35;49.88;397.03;0.00;1.63;73.25
2023-6-2;29.46;49.56;403.51;0.00;1.39;81.47
2023-6-3;28.21;53.09;399.82;0.00;2.63;59.36
2023-6-4;27.03;58.53;393.70;0.00;2.34;52.58
2023-6-5;24.19;42.43;401.14;0.79;2.40;69.44
2023-6-6;23.54;48.50;421.65;0.30;1.45;60.97
2023-6-7;26.32;50.60;436.12;0.00;1.40;113.71
2023-6-8;27.78;52.28;424.14;0.00;1.63;125.08
2023-6-9;28.68;55.99;428.95;0.00;2.01;78.99
2023-6-10;27.16;56.17;421.18;0.02;1.61;120.97
2023-6-11;27.26;50.01;427.67;0.13;1.62;78.39
2023-6-12;29.62;49.24;417.85;0.00;2.42;87.55
2023-6-13;27.07;48.35;407.90;0.02;2.05;58.55
2023-6-14;28.73;48.75;410.62;0.00;2.19;54.44
2023-6-15;28.86;47.50;406.60;0.00;2.20;82.02
2023-6-16;28.56;50.40;406.15;0.31;2.32;113.95
2023-6-17;28.76;53.47;415.57;0.02;1.90;173.54
2023-6-18;29.63;50.76;426.66;0.00;1.96;99.54
2023-6-19;31.45;53.53;432.33;0.00;1.90;81.14
2023-6-20;32.15;50.54;427.26;0.00;2.09;102.47
2023-6-21;32.51;51.01;457.77;0.00;1.77;132.34
2023-6-22;34.15;49.21;447.20;0.00;1.49;93.71
2023-6-23;30.83;53.57;457.35;0.00;1.99;33.75
2023-6-24;32.34;38.36;446.08;0.00;2.02;74.03
2023-6-25;32.37;36.52;427.41;0.00;1.88;117.34
2023-6-26;32.58;45.86;446.11;0.00;1.84;125.95
2023-6-27;30.99;53.31;435.38;0.00;2.62;79.47
2023-6-28;29.22;47.55;420.77;0.00;2.63;88.29
2023-6-29;30.12;44.89;416.42;0.00;1.96;126.77
2023-6-30;28.11;47.56;414.14;1.19;1.51;132.82
2023-7-1;26.40;48.54;416.41;0.21;1.94;62.06
2023-7-2;30.42;50.57;423.94;0.00;1.69;106.94
2023-7-3;30.04;57.35;415.19;0.00;2.59;34.47
2023-7-4;30.71;50.90;412.54;0.02;1.86;129.26
2023-7-5;30.17;51.39;414.20;0.02;1.98;134.28
2023-7-6;27.77;58.21;413.24;0.20;2.04;67.01
2023-7-7;31.18;47.85;427.51;0.00;1.39;113.94
2023-7-8;31.66;50.54;436.50;0.00;1.66;128.06
2023-7-9;33.59;48.12;418.68;0.00;1.25;164.27
2023-7-10;34.36;54.12;435.18;0.00;1.50;140.56
2023-7-11;35.42;53.49;414.72;0.00;1.94;84.68
2023-7-12;33.99;51.56;414.49;0.00;2.78;60.41
