Date;Temperature;Humidity;CO2;PREC;VVENTOMEDIO;DVENTOPREV
2023-2-1;8.81;70.19;472.76;0.00;0.84;222.95
2023-2-2;5.58;82.67;512.63;0.00;0.74;115.65
2023-2-3;7.00;82.12;481.65;0.00;1.52;93.15
2023-2-4;7.72;82.24;500.75;0.00;1.19;63.10
2023-2-5;6.14;70.02;442.45;0.00;1.44;91.47
2023-2-6;4.32;67.00;443.86;0.00;1.47;78.15
2023-2-7;4.31;49.10;455.36;0.00;2.30;32.00
2023-2-8;3.22;48.77;421.74;0.00;3.75;24.68
2023-2-9;3.69;43.68;423.33;0.00;2.71;112.01
2023-2-10;4.74;46.93;452.85;0.00;0.84;155.05
2023-2-11;5.35;48.90;469.48;0.00;0.80;199.84
2023-2-12;7.99;60.63;498.55;0.00;0.73;92.66
2023-2-13;9.84;60.12;448.30;0.00;1.24;96.18
2023-2-14;9.59;70.45;473.75;0.00;0.57;182.93
2023-2-15;10.68;68.60;487.24;0.00;0.64;145.63
2023-2-16;6.67;91.53;460.00;0.00;0.79;68.94
2023-2-17;9.78;80.35;474.38;0.00;1.02;182.63
2023-2-18;9.33;89.27;456.28;0.00;0.88;115.92
2023-2-19;9.20;89.59;454.04;0.00;0.55;108.15
2023-2-20;11.61;77.80;473.39;0.00;0.71;218.15
2023-2-21;9.13;88.74;457.33;0.00;0.78;98.23
2023-2-22;12.30;80.50;448.04;0.00;0.74;110.32
2023-2-23;12.15;78.68;442.17;0.00;0.34;177.37
2023-2-24;10.51;84.29;439.75;0.00;0.90;114.73
2023-2-25;12.50;82.18;411.01;0.00;1.10;73.68
2023-2-26;7.96;57.60;379.29;0.00;5.39;39.13
2023-2-27;7.93;46.61;387.25;0.00;4.41;44.02
2023-2-28;8.32;51.40;391.75;0.00;3.68;45.00
2023-3-1;7.38;66.44;389.05;0.05;4.29;30.85
2023-3-2;9.49;72.70;413.83;0.01;2.33;31.55
2023-3-3;12.70;60.74;442.30;0.00;1.78;23.71
2023-3-4;13.70;57.98;441.73;0.00;1.73;77.07
2023-3-5;12.61;68.21;449.39;0.00;1.30;123.75
2023-3-6;11.87;74.56;439.03;0.00;1.19;81.38
2023-3-7;12.21;73.50;440.58;0.00;1.20;172.66
